,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,projectID,projectID
1266,Khmelnitskiy,Nuclear,,PP,UA,2040,,0.0,0.0,0.0,0.0,1988.0,2005.0,,,50.3023,26.6466,[nan],"{'GEO': ['GEO3842'], 'GPD': ['WRI1005111'], 'CARMA': ['CARMA22000']}"
1428,Rovno rivne,Nuclear,,PP,UA,2880,,0.0,0.0,0.0,0.0,1981.0,2006.0,,,51.3245,25.89744,[nan],"{'GEO': ['GEO5174'], 'GPD': ['WRI1005112'], 'CARMA': ['CARMA38114']}"
1427,South,Nuclear,,PP,UA,3060,,0.0,0.0,0.0,0.0,1983.0,1989.0,,,47.812,31.22,[nan],"{'GEO': ['GEO5475'], 'GPD': ['WRI1005113'], 'CARMA': ['CARMA42555']}"
1423,Zaporozhye,Nuclear,,PP,UA,6140,,0.0,0.0,0.0,0.0,1985.0,1996.0,,,47.5119,34.5863,[nan],"{'GEO': ['GEO6207'], 'GPD': ['WRI1005114'], 'CARMA': ['CARMA50875']}"
,Dniprovska HPP 1,Hydro,Reservoir,PP,UA,638,,0.0,0.0,0.0,0.0,1932.0,2020.0,,,47.8693129,35.0869862,[nan],
,Dniprovska HPP 2,Hydro,Reservoir,PP,UA,925,,0.0,0.0,0.0,0.0,1974.0,2020.0,,,47.8693129,35.0869862,[nan],
,Dnistrovska HPP 1,Hydro,Reservoir,PP ,UA,702,,0.0,0.0,0.0,0.0,1981.0,,,,48.5938242,27.4528098,[nan],
,Dnistrovska HPP 2,Hydro,Reservoir,PP,UA,41,,0.0,0.0,0.0,0.0,1999.0,,,,48.5938242,27.5723322,[nan],
,Dnistrovska PSH,Hydro,Pumped Storage,Store,UA,1296,,0.0,0.0,0.0,0.0,,,,,48.5157242,27.4743485,[nan],
1269,Kakhovska HPP,Hydro,Reservoir,PP,UA,318,,0.0,0.0,0.0,0.0,1955.0,2009.0,,,46.77858,33.36965,[nan],"{'GEO': ['GEO43018'], 'GPD': ['WRI1005118'], 'CARMA': ['CARMA20855']}"
1268,Kanivska HPP,Hydro,Reservoir,PP,UA,493,,0.0,0.0,0.0,0.0,1972.0,2017.0,,,49.76653,31.47165,[nan],"{'GEO': ['GEO43017'], 'GPD': ['WRI1005122'], 'CARMA': ['CARMA21140']}"
1348,Kremenchutska HPP,Hydro,Reservoir,PP ,UA,645,,,,,,1959.0,2019.0,,,49.07759,33.2505,[nan],"{'GEO': ['GEO43019'], 'GPD': ['WRI1005121'], 'CARMA': ['CARMA23072']}"
,Kyivska HPP,Hydro,Reservoir,PP,UA,440,,0.0,0.0,0.0,0.0,,,,,50.5998,30.501,"[nan, nan]",
1430,Kyivska PSH,Hydro,Pumped Storage,Store,UA,241,,0.0,0.0,0.0,0.0,1964.0,1972.0,,,50.5998,30.501,"[nan, nan]","{'GEO': ['GEO43024', 'GEO43023'], 'GPD': ['WRI1005123', 'WRI1005124'], 'CARMA': ['CARMA23516', 'CARMA23517']}"
,Ladyzhynska HPP,Hydro,Reservoir,PP ,UA,8,,0.0,0.0,0.0,0.0,1964.0,,,,48.706,29.2202,[nan],
,Seredniodniprovska HPP,Hydro,Reservoir,PP,UA,388,,,,,,,,,,48.5482073,34.5408812,[nan],
,Tereble-Ritska HPP,Hydro,Reservoir,PP ,UA,27,,0.0,0.0,0.0,0.0,1956.0,,,,48.1113,23.5857,[nan],
